Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Canada,16.78304541,16.34188458,16.75601646,17.23421557,16.82025619,17.0566373,16.61192808,17.37084027,16.54880282,15.48668191,15.73391403,15.95022477,15.7612635,15.85812871,15.85413843,15.65138616,15.24474718,15.38531589,15.49706457
Central Europe and the Baltics,6.534386527,6.68651055,6.600333241,6.914286139,6.924274597,6.927355355,7.099956368,7.192342046,7.052635427,6.521535327,6.786153806,6.803902523,6.562543062,6.326934971,6.142062501,6.249982689,6.372489936,6.625943967,6.597232486
Switzerland,6.084142395,6.24632254,5.980985217,6.109823394,6.127509853,6.165025013,6.077017782,5.76603435,5.878910911,5.639327614,5.777702974,5.205754311,5.310833838,5.37497098,4.851838197,4.712404478,4.730490994,4.569419203,4.401991044
Chile,3.247220928,3.085180102,3.104355898,3.148965633,3.417427143,3.443180386,3.48833505,3.916467803,4.084807181,3.87121211,4.086146422,4.437266212,4.510826472,4.720140459,4.301488448,4.561654853,4.73170736,4.712395783,4.624872245
China,2.648479977,2.772929198,2.974328335,3.425411363,3.951800629,4.463473752,4.906034996,5.302594688,5.431610495,5.79534426,6.332165911,6.898147632,7.039787622,7.289017341,7.212791393,7.124222747,7.071898486,7.174947984,7.352262682
Cote d'Ivoire,0.384693455,0.371446625,0.370251316,0.292620071,0.301605526,0.316543403,0.300187993,0.28949599,0.324397641,0.295625731,0.302927822,0.284849452,0.366173071,0.383021967,0.395625652,0.411605058,0.39122307,0.424757468,0.395305384
Cameroon,0.431869549,0.397390656,0.380251265,0.363076458,0.378925661,0.372742791,0.381371992,0.433522547,0.426434271,0.44416547,0.441959377,0.381223121,0.328597266,0.333827053,0.341682842,0.343800787,0.357343635,0.338678511,0.341842908
"Congo, Dem. Rep.",0.019530491,0.016312697,0.017645288,0.020806765,0.022046824,0.027196782,0.02827952,0.029938231,0.030954528,0.030745299,0.031906398,0.037749896,0.035206804,0.05114996,0.064933793,0.037904358,0.026145739,0.028010253,0.026169263
"Congo, Rep.",0.914491818,0.929168751,0.845825368,0.862950793,0.814706187,1.330471807,1.321711881,1.323487413,1.34862708,1.312297969,1.16525627,1.105841803,1.053169074,0.865284504,0.861310987,0.70838841,0.672556252,0.630050555,0.613992586
Colombia,1.469090371,1.454691574,1.380538199,1.350404321,1.336155119,1.357868253,1.336083245,1.353300572,1.355779866,1.406925677,1.430255191,1.531007322,1.525532286,1.673065423,1.699465586,1.705152834,1.738659399,1.555106166,1.600650618
Comoros,0.184380059,0.197879096,0.193158671,0.240049519,0.25115952,0.228898426,0.23945328,0.187025423,0.182585317,0.193092918,0.231986266,0.212290787,0.20722096,0.242747579,0.210695427,0.23153061,0.251383552,0.307166816,0.312379103
Cabo Verde,0.513805006,0.573787988,0.632118387,0.689003723,0.744603269,0.950254193,1.065709517,0.968284474,0.998240601,1.047944488,1.096126209,1.142609721,1.049004337,0.996599836,0.964736936,0.952852841,1.035508529,1.097676461,1.140200528
Costa Rica,1.249252657,1.343554927,1.346038769,1.392873722,1.405865251,1.463071788,1.509635085,1.725458643,1.684918834,1.592659961,1.553293364,1.603682729,1.589162806,1.640619547,1.632818186,1.555343088,1.649203076,1.652540276,1.652184053
Caribbean small states,5.03110009,5.217181572,5.264220891,5.200736553,5.265055842,5.781103799,6.319862843,6.288236856,5.807552959,7.02915018,5.69036308,5.85842352,6.061385847,5.811900779,5.605397575,5.462326768,5.032062547,4.876310944,5.017034408
Cuba,2.534507272,2.435359521,2.317926681,2.24682379,2.219482757,2.296301782,2.335444202,2.417537743,2.341377461,2.413885955,2.695568338,2.53989816,2.562824284,2.424060435,2.377307538,2.427420867,2.509901097,2.262053371,2.202300094
Cyprus,7.495059833,7.216690236,7.2776181,7.820347397,7.63056581,7.658197239,7.594394304,7.746486818,7.766501968,7.449305111,7.028474309,6.712083617,6.184771366,5.577576394,5.857864769,5.839858672,6.110124091,6.188092584,6.079400502
Czech Republic,12.01065269,12.01181802,11.62410282,12.0433612,12.10540133,11.75178353,11.77860328,12.00427855,11.3928284,10.64445435,10.87698496,10.57346318,10.19619372,9.76957796,9.477122227,9.575140818,9.734693175,9.761725917,9.640704998
