Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Congo, Rep.",1032.14,869.10,916.59,1028.42,1326.60,1834.88,2153.49,2262.85,2892.42,2336.16,3073.56,3557.56,3923.09,3883.75,3776.49,2447.54,2050.99,2169.99,2606.62
Colombia,2520.48,2439.68,2396.63,2281.40,2782.62,3414.47,3741.09,4714.07,5472.54,5193.24,6336.71,7335.17,8050.26,8218.35,8114.34,6175.88,5870.78,6376.71,6729.58
Comoros,647.43,680.91,747.99,937.71,1061.08,1069.03,1114.95,1240.09,1393.22,1344.73,1316.49,1447.95,1403.36,1505.34,1513.83,1242.59,1273.05,1323.81,1428.29
Cabo Verde,1259.35,1292.23,1401.89,1809.11,2024.27,2099.15,2361.38,3186.78,3721.22,3517.43,3378.32,3740.37,3447.48,3616.04,3588.63,3043.03,3131.00,3289.90,3616.46
Costa Rica,3789.05,3960.31,4042.71,4147.82,4404.71,4676.38,5227.47,6103.74,6901.39,6801.04,8227.13,9229.83,10075.00,10744.09,10847.17,11642.78,12011.22,12225.57,12485.42
Caribbean small states,5253.44,5374.08,5600.44,5945.88,6459.57,7255.14,8201.29,9054.85,10225.38,8578.72,9253.21,9920.91,10187.30,10296.53,10381.48,10141.42,9574.22,9800.97,10234.21
Cuba,2747.10,2837.74,2999.24,3197.13,3395.71,3786.66,4683.57,5208.72,5411.27,5529.67,5730.35,6139.72,6497.31,6837.71,7133.34,7694.01,8060.80,8541.21,8824.19
Cyprus,14388.35,14821.45,16093.21,20252.24,23792.62,24959.26,26729.32,31244.93,35397.36,32109.24,31023.64,32396.39,28912.16,27729.19,27163.33,23408.34,24605.92,26608.88,29334.11
Czech Republic,6029.04,6637.04,8060.87,9818.57,11749.85,13430.67,15261.80,18466.55,22804.58,19861.70,19960.07,21871.27,19870.80,20133.17,19890.92,17829.70,18575.23,20636.20,23419.74
Germany,23694.76,23628.33,25197.27,30310.36,34106.66,34520.24,36353.88,41640.08,45612.71,41650.37,41572.46,46705.90,43855.85,46298.92,48023.87,41103.26,42136.12,44652.59,47973.61
